애인,1,,,,,,,,
걱정,0.08,0.16,0.18,0.23,0.28,,0.03,0.03,
걷다,0.06,0.12,0.23,0.06,0.11,,0.28,0.06,0.07
night,0.14,0.56,0.06,0.11,,,0.06,0.06,0.03
취하다,0.12,0.25,0.07,,0.38,0.05,0.07,0.05,
담다,0.19,,0.26,,0.15,,0.19,0.22,
머무르다,0.5,,,0.2,,,0.2,,0.1
최고,0.62,,0.38,,,,,,
터지다,0.28,0.28,0.17,0.17,0.11,,,,
come,0.28,0.39,0.17,,,0.17,,,
진심,0.42,,,,0.33,0.25,,,
죽다,0.08,0.05,0.2,,0.23,0.27,0.05,0.08,0.05
두다,0.13,,,,0.21,0.37,0.05,0.24,
주다,0.71,,,0.29,,,,,
그림,0.57,,,0.43,,,,,
고민,0.24,,0.41,0.18,,0.18,,,
듣다,0.07,0.13,0.11,0.06,0.07,0.31,0.04,0.13,0.07
인연,0.5,,,,0.5,,,,
짓다,0.22,0.28,,0.28,,0.22,,,
대신,0.33,,0.33,,,,,0.17,0.17
쉬다,0.08,0.18,0.12,0.29,0.12,0.08,0.08,,0.04
눈부시다,0.27,,,0.53,,,,0.2,
혼자,0.03,,0.05,0.05,0.13,0.05,0.58,0.05,0.07
사라지다,0.08,0.12,,,0.22,0.12,0.18,0.08,0.18
꾸다,0.1,0.12,0.64,0.07,,,,,0.07
이상,0.08,,0.09,0.09,0.15,0.42,0.15,0.02,
열리다,0.36,0.45,,0.18,,,,,
슬픔,0.11,,,,0.57,,0.08,0.19,0.05
멀다,0.05,,0.1,0.07,0.1,,0.46,0.15,0.06
웃음,0.12,0.09,,0.59,0.09,0.09,,,
흐르다,0.09,0.06,,0.04,0.43,,0.04,0.28,0.06
day,0.1,0.28,0.08,0.23,,0.13,0.1,0.08,
피하다,,,,,0.31,,,0.15,0.23
babe,0.36,0.64,,,,,,,
따르다,0.17,0.48,0.13,0.22,,,,,
설레임,1,,,,,,,,
이번,0.5,,,,,0.5,,,
떠올리다,0.5,,,,,,0.25,0.25,
헤어지다,0.06,,,,0.69,0.09,0.07,0.04,0.06
쓰다,0.07,0.13,0.25,0.07,0.16,0.2,0.02,0.05,0.04
봄이,0.67,,,0.33,,,,,
바꾸다,0.44,,0.22,,,0.33,,,
너 때문에,1,,,,,,,,
잠들다,0.27,0.27,,,,,0.33,0.13,
와도,1,,,,,,,,
변함없다,1,,,,,,,,
떠나가다,0.11,,,,0.14,,0.51,0.17,0.06
짧다,1,,,,,,,,
떨어지다,0.19,,,,0.29,0.14,0.19,0.19,
두렵다,0.07,,,0.03,,,0.03,0.02,0.89
누가,0.8,,,,,,,,0.2
놓치다,0.25,0.25,,,,,0.25,0.12,0.12
nothing,1,,,,,,,,
better,0.4,,0.6,,,,,,
right,0.15,0.58,0.12,,,,,,0.15
ha,0.36,0.36,,0.27,,,,,
아깝다,1,,,,,,,,
listen,1,,,,,,,,
want,0.27,,,0.13,,0.4,0.07,0.13,
잔,0.57,0.43,,,,,,,
하얗다,0.57,,,0.29,,,,,
하네,0.44,,,,0.33,,,0.22,
뒤돌다,0.44,,,0.22,,,0.33,,
흔하다,0.5,,,,0.5,,,,
내사랑,0.8,,,,,,,,
가깝다,1,,,,,,,,
전하다,0.57,0.43,,,,,,,
눈빛,0.14,,,0.11,0.21,0.11,0.25,0.04,0.14
이루다,0.19,,0.62,0.14,,,,0.05,
뜨겁다,0.17,0.67,0.17,,,,,,
나누다,0.31,,,0.46,,,0.15,0.08,
인생,0.06,0.19,0.36,0.11,0.04,0.1,0.07,,0.07
손가락,1,,,,,,,,
떡,0.22,,0.22,,0.33,,0.17,,0.06
키스,1,,,,,,,,
끌리다,1,,,,,,,,
손잡다,0.67,,,0.33,,,,,
감추다,0.57,,,,0.43,,,,
뒤,0.07,0.12,0.22,,0.2,0.22,0.07,0.05,0.05
깨다,0.1,,0.46,0.1,,0.1,0.18,0.03,0.03
fall,1,,,,,,,,
늦다,0.11,0.08,0.08,0.06,,0.31,0.08,0.22,0.06
라고,0.22,,0.17,,0.17,0.22,0.11,0.11,
진정,0.67,,,,,,,,0.33
빠,0.67,,,,,,,0.33,
anymore,1,,,,,,,,
흔들다,0.12,0.67,,,0.08,0.12,,,
끊다,1,,,,,,,,
비,0.08,,0.08,0.17,0.28,0.11,0.14,0.14,
가르치다,0.75,,,,,,,0.25,
달려가다,0.2,0.73,,,,,,0.07,
어둠,0.07,0.09,,0.07,,,0.16,0.05,0.56
환하다,0.3,,,0.7,,,,,
태양,0.21,0.29,0.21,0.29,,,,,
돌리다,0.16,0.16,,,0.32,0.16,0.11,0.11,
꾸미다,1,,,,,,,,
쉽다,0.09,,0.29,0.06,0.29,0.15,,0.12,
아픔,0.09,,,,0.73,,,0.18,
날아가다,0.18,0.41,,0.12,,,,0.18,0.12
every,0.2,,0.2,0.27,,0.2,0.07,0.07,
고개,0.18,,0.18,0.12,0.41,,,,0.12
수줍다,1,,,,,,,,
신경,0.17,0.28,0.17,,0.17,0.22,,,
내려오다,1,,,,,,,,
봄,0.5,,,0.33,,,,0.17,
시선,0.38,,,,,0.38,0.25,,
지치다,0.05,0.09,0.05,0.03,0.59,0.09,0.05,0.03,0.03
구름,0.5,,,0.33,,,0.17,,
지우다,0.04,,,,0.53,0.05,0.05,0.23,0.09
잃다,0.06,,0.16,,0.36,0.12,0.06,,0.24
기도,0.23,,,,,0.46,,,0.31
외롭다,0.04,,,0.06,0.06,,0.78,,0.05
바람결,1,,,,,,,,
wanna,0.14,0.19,0.24,,,0.24,,,0.19
강하다,0.43,,0.57,,,,,,
let,0.08,0.51,0.18,0.08,,,0.08,,0.08
달리다,0.05,0.65,0.24,0.05,,,,,
막다,0.16,,0.16,,,0.63,,,0.05
짜다,1,,,,,,,,
사방,1,,,,,,,,
불,0.13,0.61,0.17,,,,0.09,,
밝히다,0.38,,,0.5,,,,,0.12
트리,1,,,,,,,,
like,0.06,0.44,0.34,0.04,,0.08,,,0.04
술,0.05,0.25,,,0.49,0.07,0.05,0.1,
몸,0.06,0.49,0.1,0.1,0.14,0.06,,,0.06
타다,0.09,0.42,0.15,0.15,,0.12,0.06,,
장면,1,,,,,,,,
치다,0.06,0.28,0.1,0.08,0.12,0.3,,,0.06
이쁘다,1,,,,,,,,
이야기,0.25,,0.33,0.25,,,,,0.17
이대로,0.75,,,,,,,0.25,
연인,0.75,,,,,,0.25,,
사랑으로,0.43,,,,0.29,,,0.29,
물,0.19,0.31,,0.12,0.12,0.25,,,
두근거리다,1,,,,,,,,
선물,0.33,,,0.22,0.33,,,0.11,
찾아오다,0.25,,,0.17,0.17,,0.17,,0.25
깨우다,0.27,0.45,,,,,,,0.27
돌다,0.11,0.11,0.14,0.07,0.18,,0.14,0.21,0.04
더 가까이,1,,,,,,,,
시리다,0.23,,,,0.31,,0.23,0.08,0.15
together,1,,,,,,,,
서서,0.38,,,,0.38,,0.25,,
입맞춤,1,,,,,,,,
일,0.04,0.12,0.28,0.12,0.12,0.13,0.09,0.05,0.05
간직,0.6,,,,0.4,,,,
mellow,1,,,,,,,,
달,0.13,0.3,,0.22,,,0.17,0.09,0.09
하나님,1,,,,,,,,
보고 싶다,1,,,,,,,,
슬프다,0.04,,,0.03,0.78,,0.08,0.04,0.03
비치다,0.14,,,0.24,0.48,,0.14,,
완벽,0.25,0.25,0.33,0.17,,,,,
부드럽다,0.5,,,0.33,,,,0.17,
맴돌다,0.33,,,,,,0.33,0.33,
머물다,0.43,,,,0.29,,0.29,,
안녕,0.18,,,0.18,0.65,,,,
boy,0.14,0.55,0.14,,0.18,,,,
엄마,0.17,,0.33,0.17,0.11,0.22,,,
바치다,1,,,,,,,,
늪,1,,,,,,,,
내 곁에 있어,1,,,,,,,,
절대,0.1,0.13,0.16,,0.06,0.55,,,
one,0.13,0.61,0.26,,,,,,
잃어버리다,0.25,,,,,,0.17,0.33,0.25
안아줘요,1,,,,,,,,
은혜,1,,,,,,,,
어머니,0.25,,,0.25,0.25,0.25,,,
사랑했는데,0.6,,,,,,,0.4,
예전,0.17,,0.17,0.11,0.17,,0.17,0.22,
know,0.09,0.2,0.31,0.11,,0.23,,,0.06
honey,1,,,,,,,,
sure,1,,,,,,,,
펼쳐지다,0.33,,,0.67,,,,,
죄다,1,,,,,,,,
달라,1,,,,,,,,
keep,0.17,0.42,0.42,,,,,,
문제,0.22,,0.33,,,0.44,,,
볼,1,,,,,,,,
방,0.07,,0.15,,,,0.52,,0.26
밤새,0.11,0.33,0.17,,0.22,,,0.17,
붙들다,1,,,,,,,,
땅,1,,,,,,,,
해바라기,1,,,,,,,,
um,0.25,,0.38,,,0.38,,,
파란,0.25,0.5,,0.25,,,,,
결국,1,,,,,,,,
기적,0.33,,0.67,,,,,,
계속,0.29,,0.71,,,,,,
놀랍다,1,,,,,,,,
공간,0.2,0.4,,,0.2,,0.1,,0.1
즐겁다,0.17,0.67,,0.17,,,,,
마음속,0.29,,,,,,,0.71,
괜찮아,0.05,0.08,,0.62,0.1,0.05,,0.1,
근대,1,,,,,,,,
부럽다,1,,,,,,,,
적시다,0.29,,,,0.43,,0.29,,
빗방울,1,,,,,,,,
오래되다,0.5,,,0.5,,,,,
수록,1,,,,,,,,
맑다,0.17,,,0.83,,,,,
해,0.07,0.3,,0.19,,0.15,0.11,0.19,
수도,1,,,,,,,,
lucky,1,,,,,,,,
rap,0.18,,0.55,,,0.27,,,
나서다,0.12,,0.19,0.12,0.38,,,0.19,
맹세,1,,,,,,,,
착하다,0.33,,,,,0.67,,,
키,0.33,,,,,,0.5,,0.17
거절,1,,,,,,,,
용서,0.12,,,,0.41,0.35,,0.12,
이서,0.33,0.67,,,,,,,
인사,0.29,,,0.43,0.29,,,,
숙이다,1,,,,,,,,
옷,0.29,,0.71,,,,,,
틈,0.67,,,,,,,,0.33
투명,0.5,,,0.5,,,,,
물들다,1,,,,,,,,
blossom,1,,,,,,,,
숨다,0.29,,,0.29,,,,0.14,0.29
피다,0.5,,,0.5,,,,,
ooh,1,,,,,,,,
스며들다,0.67,,,,,,,0.33,
변화,0.4,,,0.4,,,,,0.2
놀라다,0.25,0.75,,,,,,,
첨,1,,,,,,,,
데리다,0.33,,,0.33,,,0.33,,
불다,0.14,0.36,,0.14,,0.21,0.14,,
crazy,0.17,,0.33,,,0.42,,,0.08
call,0.22,,0.33,,,0.33,0.11,,
들키다,0.5,,,,,,0.5,,
다음,0.11,0.28,0.5,,,,,,0.11
높다,0.1,0.4,0.2,0.2,,,0.1,,
어제,0.08,0.12,0.19,0.12,0.27,,0.15,0.08,
피부,1,,,,,,,,
거울,0.09,,,,0.26,0.13,0.26,0.04,0.22
꽃잎,1,,,,,,,,
눈앞,0.4,,,,,,,,0.6
오오,0.33,0.67,,,,,,,
good,0.09,0.32,,0.55,,,,0.05,
outta,1,,,,,,,,
control,1,,,,,,,,
뒤집다,0.29,,0.57,,,,,,0.14
inside,1,,,,,,,,
nobody,0.67,,,,,,0.33,,
꿈속,1,,,,,,,,
밀려오다,1,,,,,,,,
파도,0.22,0.78,,,,,,,
전,0.05,0.23,0.28,,0.05,0.15,0.05,0.08,0.1
들어가다,0.4,0.6,,,,,,,
heart,0.67,,,,,,,,0.33
나야,1,,,,,,,,
always,0.18,,0.64,,,,0.09,,0.09
think,1,,,,,,,,
beat,0.4,0.6,,,,,,,
fly,0.08,0.68,0.24,,,,,,
dreaming,1,,,,,,,,
표현,0.5,,,0.5,,,,,
불만,1,,,,,,,,
romantic,1,,,,,,,,
팔다,0.14,0.29,0.29,,,0.29,,,
놀다,,0.96,,,,,0.04,,
la,,0.73,,,,,,,0.27
춤,,0.93,,0.07,,,,,
추다,,0.84,0.08,0.08,,,,,
party,,1,,,,,,,
dance,,1,,,,,,,
go,,0.38,0.39,0.05,,,0.06,0.02,0.11
라라,,0.62,0.12,0.26,,,,,
리듬,,1,,,,,,,
음악,,0.61,0.19,,,0.19,,,
신나다,,1,,,,,,,
나나,,0.57,,0.43,,,,,
즐기다,,1,,,,,,,
ya,,0.56,0.22,0.07,,0.15,,,
움직이다,,0.61,0.26,0.09,,,,,0.04
run,,0.52,0.37,,,,,,0.11
tonight,,1,,,,,,,
stop,,0.62,,,,0.29,,0.05,0.05
boom,,1,,,,,,,
여름,,0.93,,,,,,0.07,
get,,0.36,0.33,,,0.17,0.14,,
춤추다,,1,,,,,,,
랩,,0.46,0.31,,,0.23,,,
트로트,,1,,,,,,,
맡기다,,1,,,,,,,
지르다,,0.73,,,,0.27,,,
울리다,,0.55,,,0.3,,,,0.15
fire,,0.71,0.29,,,,,,
무대,,0.53,0.47,,,,,,
여기다,,0.67,,,,0.27,,0.07,
던지다,,0.91,,,,,0.09,,
틀다,,1,,,,,,,
박자,,1,,,,,,,
부비,,1,,,,,,,
아아,,1,,,,,,,
shake,,1,,,,,,,
time,,0.5,0.22,0.28,,,,,
이 노래,,0.9,,,,,,0.1,
back,,0.47,,,,0.42,0.05,,0.05
away,,0.43,,,,,0.29,0.24,0.05
say,,0.38,0.12,0.08,0.17,0.25,,,
livin,,1,,,,,,,
high,,0.36,0.48,,,0.12,,,0.04
yeh,,1,,,,,,,
새롭다,,0.6,0.27,0.13,,,,,
dan,,1,,,,,,,
맛,,0.53,,0.27,,0.13,0.07,,
ah,,0.44,,0.28,,,,,0.28
whoo,,1,,,,,,,
two,,0.73,0.27,,,,,,
타오르다,,1,,,,,,,
feel,,0.53,0.47,,,,,,
분위기,,1,,,,,,,
모이다,,1,,,,,,,
gon,,1,,,,,,,
magic,,1,,,,,,,
빼다,,0.35,0.35,,,0.2,0.1,,
birthday,,1,,,,,,,
summer,,1,,,,,,,
uh,,0.24,0.38,0.1,,0.17,,0.03,0.07
돈,,0.1,0.63,0.07,0.04,0.16,,,
조명,,0.88,,,,,,0.12,
형,,0.54,0.46,,,,,,
난나,,1,,,,,,,
follow,,1,,,,,,,
자리,,0.23,0.13,0.1,0.17,,0.1,0.2,0.07
drive,,0.7,,0.3,,,,,
날다,,0.64,0.36,,,,,,
wow,,1,,,,,,,
lady,,0.75,,0.25,,,,,
hot,,1,,,,,,,
everyday,,0.67,,,,0.33,,,
woo,,0.75,,,,,,,0.25
클럽,,1,,,,,,,
쇼,,1,,,,,,,
나가다,,0.3,0.25,,0.1,0.25,,,0.1
랄,,0.67,,0.33,,,,,
새벽,,0.5,,0.17,0.33,,,,
rock,,1,,,,,,,
shot,,0.75,,0.25,,,,,
자다,,0.32,,0.16,0.37,,0.16,,
비트,,1,,,,,,,
힙합,,0.43,0.57,,,,,,
띠다,,1,,,,,,,
리,,0.62,,,0.38,,,,
남,,0.17,0.1,0.07,0.14,0.28,0.07,0.17,
빠르다,,0.83,,,,,,,0.17
아무것,,0.11,0.07,,0.18,0.07,0.18,0.09,0.3
가자,,1,,,,,,,
넘다,,0.38,0.54,,,,,0.08,
챙기다,,0.45,0.36,0.18,,,,,
supermagic,,1,,,,,,,
dancing,,1,,,,,,,
갈래,,1,,,,,,,
한강,,1,,,,,,,
turn,,0.56,0.44,,,,,,
흥,,1,,,,,,,
Come on,,1,,,,,,,
라타,,1,,,,,,,
got,,0.25,0.75,,,,,,
다다,,1,,,,,,,
뭐,,0.56,,,,0.44,,,
wake,,1,,,,,,,
welcome,,1,,,,,,,
태우다,,0.62,,,0.38,,,,
날리다,,0.62,,,,0.38,,,
붐,,1,,,,,,,
radio,,1,,,,,,,
외치다,,0.45,0.27,,0.18,,,0.09,
dooli,,1,,,,,,,
차다,,0.5,0.3,,,,0.2,,
소리치다,,0.38,,,0.23,,,0.15,0.23
서울,,1,,,,,,,
마시다,,0.28,,,0.5,0.22,,,
만지다,,0.56,,,0.22,,,,0.22
alright,,0.33,0.58,,,,,0.08,
열다,,0.27,,0.2,0.53,,,,
비우다,,0.25,0.19,,0.31,,0.12,0.12,
얼음,,1,,,,,,,
열,,1,,,,,,,
발악,,1,,,,,,,
넘치다,,1,,,,,,,
파티,,1,,,,,,,
celebrate,,1,,,,,,,
따다,,1,,,,,,,
종일,,0.27,,0.2,0.13,,0.4,,
한잔,,0.22,0.17,0.11,0.17,,0.11,0.22,
식다,,0.5,,,,,0.5,,
오르다,,0.44,0.56,,,,,,
달아오르다,,1,,,,,,,
tell,,0.29,0.29,,,0.43,,,
차렷,,1,,,,,,,
붉다,,0.57,,0.43,,,,,
끼다,,0.4,,,,0.6,,,
style,,1,,,,,,,
풀리다,,0.4,,0.2,0.2,,0.2,,
댄스,,1,,,,,,,
열기,,1,,,,,,,
파라,,1,,,,,,,
fanfare,,1,,,,,,,
higher,,1,,,,,,,
jump,,1,,,,,,,
꺼지다,,0.17,,,,0.74,0.09,,
네온,,1,,,,,,,
시끄럽다,,0.57,0.43,,,,,,
take,,0.5,0.38,,,,,,0.12
tik,,1,,,,,,,
tok,,1,,,,,,,
da,,0.4,,,,,0.6,,
반복,,0.17,,0.09,,0.22,0.09,0.35,0.09
loud,,1,,,,,,,
이기다,,0.4,0.6,,,,,,
동네,,0.44,,0.56,,,,,
바퀴,,1,,,,,,,
